gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Ddx3y,5.338281512403625,0.39845019228961104,-4.939831320114013,7.796440692600242e-06,5.1081036204323995
Uty,3.328082136625298,0.030192847971155665,-3.2978892886541424,5.251532492661028e-05,4.279713943072796
Xist,0.7743242392199129,7.108385817025148,6.334061577805235,5.563741347004887e-05,4.254633068144326
Mbtd1,5.559030769545481,4.573968079636015,-0.9850626899094657,0.00011311867953895836,3.946465673139565
Dnajc18,4.561513632836643,4.779761197143835,0.21824756430719194,0.00016460211386040187,3.7835645917725147
Ccnt2,3.6307322406069424,3.3092760199619238,-0.32145622064501866,0.00023497862945116122,3.628971633615356
Kdm5d,2.199562820111097,0.030192847971155665,-2.1693699721399415,0.000428403889868328,3.3681465944679116
Eif2s3y,3.236410490722701,0.029064114209541938,-3.207346376513159,0.00048293629281385167,3.3161101560067303
Ranbp6,3.7652365275874495,3.932756831931544,0.16752030434409448,0.0009302120545354715,3.031418036804382
Med1,5.096296634204169,5.85502531361388,0.7587286794097112,0.0010245047426025843,2.9894860268368566
Ddx3x,7.225494144447279,7.788527745148088,0.563033600700809,0.0011846019103991092,2.9264275713108763
Nemf,4.4870586200972085,4.1843520353631405,-0.302706584734068,0.0016619703127519285,2.7793767381470773
Snf8,3.324051252402113,3.801710613359704,0.477659360957591,0.001754024177762373,2.7559644245410078
Mcat,1.4556688752241322,2.1454791416963253,0.689810266472193,0.0017680790648984777,2.7524983181230818
Kcnc2,5.003305865555769,5.2192708289405205,0.21596496338475113,0.0019389645106175938,2.7124301398557953
Eif2s3x,2.8611937671147234,3.4023019616724803,0.5411081945577569,0.0019809582056743037,2.703124687125006
Ackr1,3.3207557279575766,3.684345186050264,0.3635894580926875,0.0020353198059622967,2.691367341204179
Med15,4.103840855586445,4.434153425951763,0.3303125703653178,0.002041955016854965,2.6899538294121097
Myo1c,1.6284591924413003,2.118163164549746,0.4897039721084455,0.00238937148362316,2.6217163237764964
Necap1,6.665687005083865,6.929432649610463,0.26374564452659754,0.0023943488471039774,2.6208125743410107
Vps13b,3.4442206443948606,3.634998574787056,0.19077793039219548,0.002410887484637119,2.617823057536882
Top3b,1.7796889410299264,2.10676650381745,0.32707756278752353,0.0024478617853533184,2.6112131075856975
Tor2a,2.236991622487325,2.7400050588134364,0.5030134363261114,0.0025425777569122346,2.5947257566425663
Vdac3,3.4669495946021445,3.638168183751057,0.17121858914891241,0.0027425042669146854,2.561852688057331
Sec14l2,3.6140833302850326,3.817254851380122,0.2031715210950895,0.0028071026063544026,2.551741712567163
Arsk,2.7852195589781714,2.5163576413872244,-0.268861917590947,0.0030570405936906323,2.5146987943459456
Fkrp,4.052798167512217,4.343378610219407,0.2905804427071903,0.0031309555291086297,2.5043231008915123
Rpl22l1,5.58071948637411,5.6666418590870515,0.08592237271294145,0.0031978076661246706,2.4951476606812952
Iffo1,2.204200810066957,2.5468543684891363,0.3426535584221795,0.003580201257271286,2.4460925592595815
Ube2o,4.205530595373396,4.4776516415557905,0.2721210461823942,0.00369140730879372,2.4328080322353696
Inpp4a,4.143621088516282,4.4771935491873265,0.3335724606710446,0.003756056910507426,2.425267836072569
Rab3d,2.1583288706245662,1.762577265191758,-0.3957516054328083,0.0038592932094554497,2.4134922246908146
Rest,2.1040590845649985,1.647367952424176,-0.45669113214082246,0.0038682283983285746,2.4124878910509455
Rps10,5.446113022721522,5.832692875036316,0.3865798523147941,0.003877960140947366,2.411396659067415
Exosc4,2.360838007335009,2.7057599087989543,0.3449219014639455,0.0041841595948686845,2.378391758689315
Cct3,4.422470127707858,4.564374880271906,0.14190475256404778,0.0042085914698176624,2.375863229399244
Rabgap1,4.948528388163017,5.183155431380869,0.2346270432178521,0.0043150489760801864,2.36501427065082
Seh1l,3.804289227853692,4.0453413235629,0.2410520957092075,0.004388509855812562,2.3576829219581357
Rps28,6.474525672522337,6.556657472427882,0.08213179990554487,0.004608921107784643,2.3364007257542023
Il10rb,3.049441358071158,3.3516503241555413,0.3022089660843834,0.004687352661190915,2.3290723703442096
Bnip1,1.7641113476085888,2.2073896984541066,0.4432783508455178,0.004694966090574687,2.3283675400814654
Opa3,3.077485852185126,2.5649369349537445,-0.5125489172313813,0.004695398089382867,2.3283275810990194
Kctd7,1.745548444902221,2.09871318026688,0.3531647353646592,0.004800666366450998,2.3186984752939273
Cul2,3.9000039895028125,4.141196809765403,0.2411928202625906,0.004984002164553391,2.302421777734643
Acad11,3.342035751604971,3.083564238833091,-0.25847151277187974,0.005055840955421052,2.2962065963691494
Nip7,3.868552525514317,4.100258587369663,0.23170606185534615,0.005117770127043961,2.2909192250526598
Ngfr,0.43548687257918983,2.051085700332846,1.6155988277536562,0.005131350375522135,2.28976833011938
Kcns2,2.6775863121093164,2.894665428085611,0.21707911597629437,0.005254612753922502,2.2794592843991133
9530068E07Rik,3.9683159307989597,4.32579582102736,0.35747989022840043,0.0054058915527017025,2.2671326709080373
Tfip11,2.3184172881989804,2.5483593742128634,0.229942086013883,0.005432922238009985,2.2649665110245993
Adarb2,3.005920502153311,3.3008828740923555,0.2949623719390444,0.005440298298392659,2.264377286736719
Ica1,3.758582185599071,3.9089416659300014,0.1503594803309305,0.005498501566102252,2.2597556469124753
Golgb1,3.456151091942735,3.0394141652113595,-0.4167369267313754,0.00560202389989005,2.2516550426798507
Rltpr,2.1879453045134167,2.506167023660296,0.31822171914687924,0.005782143824273005,2.2379111099480857
Tmem263,4.600264469733886,4.942210943337197,0.3419464736033113,0.006291892467985986,2.2012187083245585
Aimp1,4.498351376401207,4.762417669679943,0.2640662932787361,0.00634690817080278,2.1974377851588867
Nisch,6.514674869357484,6.663847506006683,0.14917263664919922,0.006504584669476772,2.1867804287738717
Prpf38a,2.5030096922869833,2.7883301184375218,0.28532042615053843,0.0066051792972895524,2.180115388985623
Ide,4.334140118043565,3.6184683501115784,-0.7156717679319864,0.006670225110910319,2.175859508995529
Jmjd4,2.341954393260674,2.6712213529327724,0.3292669596720983,0.0068114015950651524,2.1667635132896863
Tmem240,2.527236771507637,2.9200136414028903,0.3927768698952532,0.0068753574063142005,2.1627047206896206
Suclg1,6.061286515295056,6.208203394409035,0.146916879113979,0.00698344802890174,2.155930094542398
Vkorc1l1,4.1177950059604305,4.436524593604169,0.3187295876437384,0.007198274948462012,2.142771568864083
1810026J23Rik,4.4019477195507335,4.571809769573057,0.16986205002232335,0.007265327197277638,2.13874482227823
Xylt2,2.5439350873956688,2.814768467221119,0.2708333798254503,0.0074260063060457805,2.1292446863137755
Vcpip1,4.719305975724268,4.968962024054348,0.24965604833008026,0.007500809397067137,2.1248918702464974
Disp2,7.611993696969773,7.756924257927771,0.14493056095799872,0.007504889166399873,2.1246557171150973
Sall2,4.43590128734229,4.687082843483735,0.2511815561414448,0.00757682160222597,2.1205129381802856
Ubr7,3.6091012086456877,3.8529869886590933,0.24388578001340555,0.00761334379059931,2.1184245586226744
Zfp941,2.639480498134939,3.5293178060576245,0.8898373079226856,0.007613460931454177,2.1184178765081003
Mast2,2.089624914008731,2.496218422522643,0.40659350851391185,0.007674239301115431,2.1149646625870666
Mpp3,4.911629428881891,5.274028140686313,0.3623987118044214,0.007759474121070575,2.110167710965546
Raf1,3.909774392296331,4.116954300967826,0.20717990867149538,0.007898894315897296,2.1024336968249435
Gpn1,3.0084945877166405,3.384450671588907,0.3759560838722664,0.00813562315448568,2.089609176323978
Crbn,4.739076253245558,4.931104531030042,0.19202827778448395,0.008175581177400772,2.0874813648858175
Mrpl57,3.314923803954443,3.661389829404991,0.3464660254505483,0.008244862339516719,2.083816591164079
Spry3,2.144022152663729,2.412333201310405,0.2683110486466762,0.0082479967793757,2.083651517305
Atp5b,6.71641542122049,6.9092925792779765,0.1928771580574864,0.008248575680589152,2.08362103659717
Glb1,2.5743814703265993,2.9186155188879206,0.34423404856132134,0.008363337134959,2.077620395992775
Oscp1,2.1079364037864785,2.5494870572377404,0.4415506534512619,0.00837790215514366,2.0768647160360705
Rpl41,4.665207165732716,4.865606580897902,0.20039941516518578,0.008565303678582223,2.0672572347306333
